0,0,0.022828,0,0.0076094,0,0,0,0,0.030307,0,0,0,0,0,0.022828,0,0,0,0.11244,0,0
0,0,0,0,0,0,4.9821,0,0,0,0,0,0,2.2622,0.023476,0,0,0,0,0,0,0
18.352,0,0,0,0,0,10.078,0,0,0,0,0,3.0096,0,0,0,0,0,0,0,0,0
0,0,0,0,0.037786,0,0,0,0,0,0,0,0,0,0,0,0.77515,0,0,0,0.79158,0
0.13574,0,0,0.10401,0,0,0.01417,0.01417,0,0,0.01417,0,0.01417,0,0.01417,0,0,0,0.01417,0,0,0
0,0,0,0,0,0,16.298,0,0,0,0,0,1.0489,0,0,0,0,0.22335,0,0,0,0
0,0.018893,0.018893,0,5.4035,0.018893,0,0,0,0,0,0,0,0.018893,0,0,0,0,0,0,0,0.018893
0,0,0,0,10.733,0,0,0,0,0,0,0,8.0545,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,42.94,0,0,0,0,0,0,0,0,0,0.038522,0,0
0.039869,0,0,0,0,0,0,0,0.17367,0,0,0,0,0,0,0,0,0,0,0,0.094695,0
0,0,0,0,22.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3117
0,0,0,0,0,0,0,0,0,0,0,0,8.2485,0,2.4801,0,0,0,0,0,0,0
0,0,0.00042641,0,0.57271,0.0030513,0,0.10135,0,0,0,0.15693,0,0,0,0,0,0,0,0,0,0
0,0.64653,0,0,0,0,3.6076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5019,0,0,3.5627,0,0,0,0,0,0,1.6439,0,0,0,0,0,0,0,0,0,1.597
17.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.909
0,0,0,13.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1683,0,0,0
0,0,0,0,0,1.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4599
0,0,0,0,0.11523,0,0,0,0,0,0,0,0,0,0,0,1.9927,0,0,0,0,1.624
0.07165,0,0,0,0,0,0,0,0.046505,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.7546,0,0,0,0,0,1.1097,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.5176,0,0,0,0.018893,0,0,0,0.018893,0.018893,0,0.018893,0.018893,0,0,0
